tact,avgWaitingTime,remaining,inMotion,(0) position,(0) number of passangers,(0) passangers,(1) position,(1) number of passangers,(1) passangers,(2) position,(2) number of passangers,(2) passangers
1440,937.39,100/100,100/100,0,5,"[54.	 home: 6,	 position: 0,	 waiting since: 456,	 schedule: [(455.70593953715326, 6), (730.6973319023933, 5), (760.6973319023933, 6), (1010.4669345718831, 0)], 59.	 home: 8,	 position: 0,	 waiting since: 457,	 schedule: [(456.42348189759133, 8), (703.3811600757339, 10), (733.3811600757339, 8), (1019.6532829934099, 0)], 55.	 home: 7,	 position: 0,	 waiting since: 460,	 schedule: [(459.1528155561656, 7), (721.1158962255219, 5), (751.1158962255219, 7), (1018.6655449924751, 0)], 10.	 home: 14,	 position: 0,	 waiting since: 468,	 schedule: [(467.17091565705584, 14), (697.546026028738, 10), (727.546026028738, 14), (1002.1478692901766, 0)], 29.	 home: 3,	 position: 3,	 waiting since: 713,	 schedule: [(712.8182377070045, 5), (742.8182377070045, 3), (1010.3297385795136, 0)]]",0,5,"[22.	 home: 13,	 position: 0,	 waiting since: 468,	 schedule: [(467.415233194406, 13), (724.5843105950158, 10), (754.5843105950158, 13), (1020.3879259583011, 0)], 75.	 home: 11,	 position: 0,	 waiting since: 468,	 schedule: [(467.9278471201924, 11), (737.8937117619588, 10), (767.8937117619588, 11), (1029.009125583846, 0)], 61.	 home: 10,	 position: 0,	 waiting since: 469,	 schedule: [(468.96788957391874, 10), (703.3972817181755, 10), (733.3972817181755, 10), (1018.1298495700037, 0)], 35.	 home: 5,	 position: 0,	 waiting since: 470,	 schedule: [(469.31887811675665, 5), (730.2619253820988, 5), (760.2619253820988, 5), (1022.7627718650948, 0)], 37.	 home: 14,	 position: 0,	 waiting since: 470,	 schedule: [(469.7731409642273, 14), (718.831244697572, 10), (748.831244697572, 14), (1017.4741305324726, 0)]]",13,0,[]
1440,946.09,100/100,100/100,0,5,"[71.	 home: 5,	 position: 0,	 waiting since: 468,	 schedule: [(467.61911434601956, 5), (716.8048522410396, 5), (746.8048522410396, 5), (999.1874678190354, 0)], 88.	 home: 5,	 position: 0,	 waiting since: 469,	 schedule: [(468.57300830951027, 5), (726.5395768155759, 5), (756.5395768155759, 5), (1032.0129758201101, 0)], 96.	 home: 10,	 position: 0,	 waiting since: 469,	 schedule: [(468.48715780535565, 10), (715.6082743388132, 10), (745.6082743388132, 10), (1023.2812962079913, 0)], 8.	 home: 14,	 position: 0,	 waiting since: 470,	 schedule: [(469.1979329792463, 14), (729.5441274239182, 10), (759.5441274239182, 14), (1033.0342606955867, 0)], 58.	 home: 9,	 position: 0,	 waiting since: 470,	 schedule: [(469.20117015871506, 9), (710.58678464782, 10), (740.58678464782, 9), (1004.4841263167793, 0)]]",0,5,"[68.	 home: 7,	 position: 0,	 waiting since: 470,	 schedule: [(469.54766817493777, 7), (729.0991938416522, 5), (759.0991938416522, 7), (1020.5373177025183, 0)], 90.	 home: 2,	 position: 0,	 waiting since: 470,	 schedule: [(469.32517048823496, 2), (714.2959726886199, 5), (744.2959726886199, 2), (1025.1769642284096, 0)], 31.	 home: 13,	 position: 0,	 waiting since: 471,	 schedule: [(470.73940795756073, 13), (736.5289540035424, 10), (766.5289540035424, 13), (1012.7011273190826, 0)], 35.	 home: 4,	 position: 0,	 waiting since: 471,	 schedule: [(470.016677196678, 4), (727.2174171384112, 5), (757.2174171384112, 4), (1045.1251810883361, 0)], 7.	 home: 9,	 position: 0,	 waiting since: 472,	 schedule: [(471.44813361616906, 9), (704.650533137672, 10), (734.650533137672, 9), (1011.0164967341365, 0)]]",4,3,"[17.	 home: 11,	 position: 0,	 waiting since: 464,	 schedule: [(463.8231584158633, 11), (727.9732780469867, 10), (757.9732780469867, 11), (1003.3327026397632, 0)], 19.	 home: 14,	 position: 0,	 waiting since: 466,	 schedule: [(465.63815290553003, 14), (718.9362109542731, 10), (748.9362109542731, 14), (1020.1274299834646, 0)], 84.	 home: 11,	 position: 0,	 waiting since: 466,	 schedule: [(465.16817845936754, 11), (723.0254461608342, 10), (753.0254461608342, 11), (1006.8917082077888, 0)]]"
1440,938.12,100/100,100/100,0,5,"[5.	 home: 12,	 position: 0,	 waiting since: 471,	 schedule: [(470.66407456255456, 12), (720.4798078252755, 10), (750.4798078252755, 12), (1010.1661866366225, 0)], 6.	 home: 8,	 position: 0,	 waiting since: 471,	 schedule: [(470.11373433114835, 8), (723.9330851623532, 10), (753.9330851623532, 8), (1028.0230414505877, 0)], 44.	 home: 11,	 position: 0,	 waiting since: 471,	 schedule: [(470.32441525501054, 11), (723.288902265138, 10), (753.288902265138, 11), (1008.2472628291716, 0)], 35.	 home: 13,	 position: 0,	 waiting since: 472,	 schedule: [(471.57137631148487, 13), (728.7919515015562, 10), (758.7919515015562, 13), (1010.8316245354135, 0)], 41.	 home: 6,	 position: 0,	 waiting since: 474,	 schedule: [(473.54187844692547, 6), (715.0181624449584, 5), (745.0181624449584, 6), (1017.2806129622358, 0)]]",0,5,"[94.	 home: 3,	 position: 0,	 waiting since: 472,	 schedule: [(471.8490331165621, 3), (713.9245389814066, 5), (743.9245389814066, 3), (1024.5507941888236, 0)], 16.	 home: 3,	 position: 0,	 waiting since: 473,	 schedule: [(472.050990676539, 3), (718.4475983069342, 5), (748.4475983069342, 3), (1031.4409627712164, 0)], 59.	 home: 13,	 position: 0,	 waiting since: 473,	 schedule: [(472.57809202012646, 13), (719.3703258295287, 10), (749.3703258295287, 13), (1028.1736882109547, 0)], 93.	 home: 11,	 position: 0,	 waiting since: 473,	 schedule: [(472.687538287148, 11), (719.4897151078359, 10), (749.4897151078359, 11), (1006.551697382436, 0)], 37.	 home: 13,	 position: 0,	 waiting since: 474,	 schedule: [(473.1489322629306, 13), (724.7924282299412, 10), (754.7924282299412, 13), (1009.5353442496556, 0)]]",4,2,"[97.	 home: 13,	 position: 0,	 waiting since: 466,	 schedule: [(465.4781164079759, 13), (712.4833099954664, 10), (742.4833099954664, 13), (1016.3746496107525, 0)], 91.	 home: 14,	 position: 0,	 waiting since: 468,	 schedule: [(467.6165276242233, 14), (716.6129070429515, 10), (746.6129070429515, 14), (1016.4659737345013, 0)]]"
1440,921.05,100/100,100/100,0,5,"[88.	 home: 13,	 position: 0,	 waiting since: 469,	 schedule: [(468.20769955150564, 13), (716.5702936968459, 10), (746.5702936968459, 13), (1013.2017713058297, 0)], 25.	 home: 13,	 position: 0,	 waiting since: 470,	 schedule: [(469.7586955903675, 13), (728.008405716142, 10), (758.008405716142, 13), (1034.3564766408108, 0)], 40.	 home: 13,	 position: 0,	 waiting since: 470,	 schedule: [(469.0308249922461, 13), (726.2751443369542, 10), (756.2751443369542, 13), (1026.7826332659033, 0)], 48.	 home: 5,	 position: 0,	 waiting since: 471,	 schedule: [(470.6000584741545, 5), (727.4934432416768, 5), (757.4934432416768, 5), (1018.5516506257651, 0)], 74.	 home: 13,	 position: 0,	 waiting since: 471,	 schedule: [(470.0508605903008, 13), (719.4246914642515, 10), (749.4246914642515, 13), (1025.1539601198251, 0)]]",0,5,"[28.	 home: 12,	 position: 0,	 waiting since: 463,	 schedule: [(462.5371426980949, 12), (715.9275278723567, 10), (745.9275278723567, 12), (1032.9861235727803, 0)], 50.	 home: 12,	 position: 0,	 waiting since: 472,	 schedule: [(471.39287639674814, 12), (725.6328822198662, 10), (755.6328822198662, 12), (1029.2782476689918, 0)], 66.	 home: 9,	 position: 0,	 waiting since: 472,	 schedule: [(471.65151804938176, 9), (716.2956469347644, 10), (746.2956469347644, 9), (1011.2408664765748, 0)], 67.	 home: 11,	 position: 0,	 waiting since: 472,	 schedule: [(471.04228599419497, 11), (709.6292368774796, 10), (739.6292368774796, 11), (1007.8038689848006, 0)], 15.	 home: 6,	 position: 0,	 waiting since: 473,	 schedule: [(472.30413970610016, 6), (713.7633135786682, 5), (743.7633135786682, 6), (1023.2481830473083, 0)]]",4,5,"[72.	 home: 13,	 position: 0,	 waiting since: 454,	 schedule: [(453.99115950462885, 13), (721.8752282748596, 10), (751.8752282748596, 13), (1004.5827161423291, 0)], 6.	 home: 9,	 position: 0,	 waiting since: 463,	 schedule: [(462.2655854854386, 9), (717.1358452581475, 10), (747.1358452581475, 9), (1020.3232236468128, 0)], 9.	 home: 8,	 position: 0,	 waiting since: 463,	 schedule: [(462.7438409239551, 8), (738.9524850270891, 10), (768.9524850270891, 8), (1038.4016515576675, 0)], 58.	 home: 11,	 position: 0,	 waiting since: 466,	 schedule: [(465.49885723093894, 11), (723.3163908371623, 10), (753.3163908371623, 11), (1019.6960779214236, 0)], 0.	 home: 4,	 position: 4,	 waiting since: 737,	 schedule: [(736.4532684850933, 5), (766.4532684850933, 4), (1027.9991832771582, 0)]]"
1440,904.38,100/100,100/100,14,2,"[40.	 home: 8,	 position: 10,	 waiting since: 780,	 schedule: [(744.9782863107513, 8), (1012.3052770482436, 0)], 2.	 home: 11,	 position: 11,	 waiting since: 929,	 schedule: [(709.5200236520225, 10), (739.5200236520225, 11), (1020.0389295779584, 0)]]",14,1,"[31.	 home: 13,	 position: 13,	 waiting since: 1157,	 schedule: [(1020.7950377322463, 0)]]",14,4,"[21.	 home: 3,	 position: 3,	 waiting since: 723,	 schedule: [(722.5026280957621, 5), (752.5026280957621, 3), (1032.9588446565554, 0)], 74.	 home: 3,	 position: 3,	 waiting since: 736,	 schedule: [(735.149386474486, 5), (765.149386474486, 3), (1016.3147627080588, 0)], 29.	 home: 2,	 position: 0,	 waiting since: 468,	 schedule: [(467.3536329827273, 2), (724.7048404661208, 5), (754.7048404661208, 2), (1012.1386269442517, 0)], 73.	 home: 12,	 position: 12,	 waiting since: 1118,	 schedule: [(1012.4941096141845, 0)]]"
1440,928.4183673469388,98/100,98/100,11,5,"[70.	 home: 8,	 position: 8,	 waiting since: 1409,	 schedule: [(1027.3365993276088, 0)], 53.	 home: 7,	 position: 5,	 waiting since: 1418,	 schedule: [(733.1244451561679, 7), (1027.230188363851, 0)], 5.	 home: 5,	 position: 0,	 waiting since: 468,	 schedule: [(467.7034736587626, 5), (729.56207619705, 5), (759.56207619705, 5), (1023.9035756395546, 0)], 3.	 home: 12,	 position: 0,	 waiting since: 469,	 schedule: [(468.356627159346, 12), (731.2730259598145, 10), (761.2730259598145, 12), (1011.6873161673014, 0)], 47.	 home: 2,	 position: 0,	 waiting since: 469,	 schedule: [(468.69863709333157, 2), (710.8741532266691, 5), (740.8741532266691, 2), (1022.6674479133206, 0)]]",14,3,"[28.	 home: 14,	 position: 14,	 waiting since: 729,	 schedule: [(728.0230943590054, 10), (758.0230943590054, 14), (1040.4065190078793, 0)], 11.	 home: 13,	 position: 13,	 waiting since: 728,	 schedule: [(727.4985832798393, 10), (757.4985832798393, 13), (1021.0653846864361, 0)], 59.	 home: 13,	 position: 13,	 waiting since: 734,	 schedule: [(733.0090856749322, 10), (763.0090856749322, 13), (1038.507880609145, 0)]]",1,5,"[61.	 home: 11,	 position: 0,	 waiting since: 461,	 schedule: [(460.95685917304905, 11), (728.0575014519059, 10), (758.0575014519059, 11), (1023.2137787483107, 0)], 2.	 home: 13,	 position: 0,	 waiting since: 462,	 schedule: [(461.77788869039, 13), (717.2273248348478, 10), (747.2273248348478, 13), (1015.2912454451368, 0)], 68.	 home: 13,	 position: 0,	 waiting since: 462,	 schedule: [(461.5387367543313, 13), (704.6496404514073, 10), (734.6496404514073, 13), (1006.7433253722144, 0)], 13.	 home: 8,	 position: 8,	 waiting since: 712,	 schedule: [(711.6972951348621, 10), (741.6972951348621, 8), (1014.8634329587345, 0)], 97.	 home: 14,	 position: 0,	 waiting since: 467,	 schedule: [(466.6084281152301, 14), (714.5258870961137, 10), (744.5258870961137, 14), (1017.1052397313499, 0)]]"
1440,897.12,100/100,100/100,14,2,"[33.	 home: 12,	 position: 12,	 waiting since: 1329,	 schedule: [(1007.3683162983905, 0)], 0.	 home: 13,	 position: 13,	 waiting since: 1405,	 schedule: [(1026.6384871025398, 0)]]",14,0,[],12,3,"[96.	 home: 9,	 position: 10,	 waiting since: 1281,	 schedule: [(748.428648938893, 9), (1011.4114948881034, 0)], 22.	 home: 10,	 position: 10,	 waiting since: 1282,	 schedule: [(1018.7104295756939, 0)], 44.	 home: 11,	 position: 11,	 waiting since: 1389,	 schedule: [(1025.6273396483377, 0)]]"
1440,856.36,100/100,100/100,14,5,"[92.	 home: 7,	 position: 7,	 waiting since: 702,	 schedule: [(701.1297623489002, 5), (731.1297623489002, 7), (1014.5411591532189, 0)], 51.	 home: 7,	 position: 7,	 waiting since: 723,	 schedule: [(715.4044170417438, 5), (745.4044170417438, 7), (1040.9169729463583, 0)], 97.	 home: 7,	 position: 7,	 waiting since: 724,	 schedule: [(723.699782166411, 5), (753.699782166411, 7), (1029.5932302961137, 0)], 9.	 home: 9,	 position: 9,	 waiting since: 1019,	 schedule: [(1018.2264262527245, 0)], 45.	 home: 7,	 position: 7,	 waiting since: 728,	 schedule: [(727.25590744005, 5), (757.25590744005, 7), (1000.3769453133043, 0)]]",14,2,"[83.	 home: 12,	 position: 12,	 waiting since: 723,	 schedule: [(722.5978901097001, 10), (752.5978901097001, 12), (1029.5442713625844, 0)], 98.	 home: 14,	 position: 14,	 waiting since: 1021,	 schedule: [(1020.1227236539416, 0)]]",0,5,"[40.	 home: 12,	 position: 0,	 waiting since: 471,	 schedule: [(470.54409067728113, 12), (714.9663255748087, 10), (744.9663255748087, 12), (1013.1595903836111, 0)], 86.	 home: 13,	 position: 0,	 waiting since: 473,	 schedule: [(472.20030497021384, 13), (689.6425042040174, 10), (719.6425042040174, 13), (1028.347673963165, 0)], 60.	 home: 8,	 position: 8,	 waiting since: 1179,	 schedule: [(721.5130285904883, 10), (751.5130285904883, 8), (1018.6976812014128, 0)], 13.	 home: 8,	 position: 8,	 waiting since: 1181,	 schedule: [(716.2357820035871, 10), (746.2357820035871, 8), (1041.6452518626154, 0)], 84.	 home: 7,	 position: 5,	 waiting since: 1194,	 schedule: [(766.4144615913526, 7), (1022.5980075719542, 0)]]"
1440,849.8383838383838,99/100,99/100,13,5,"[39.	 home: 1,	 position: 5,	 waiting since: 857,	 schedule: [(739.575888628297, 1), (1027.4212798604242, 0)], 71.	 home: 1,	 position: 5,	 waiting since: 857,	 schedule: [(720.4248854208244, 1), (1027.9458447493655, 0)], 6.	 home: 2,	 position: 5,	 waiting since: 859,	 schedule: [(744.8197925884257, 2), (1037.2815305943782, 0)], 25.	 home: 10,	 position: 10,	 waiting since: 1008,	 schedule: [(1007.6395179445781, 0)], 64.	 home: 14,	 position: 14,	 waiting since: 1346,	 schedule: [(1026.397113346906, 0)]]",14,1,"[66.	 home: 13,	 position: 13,	 waiting since: 716,	 schedule: [(710.8729978497803, 10), (740.8729978497803, 13), (1022.7301048835169, 0)]]",2,5,"[18.	 home: 12,	 position: 10,	 waiting since: 881,	 schedule: [(736.1353093605915, 12), (1015.9007697235298, 0)], 27.	 home: 12,	 position: 10,	 waiting since: 883,	 schedule: [(761.2272379883817, 12), (1010.5805178930605, 0)], 65.	 home: 14,	 position: 10,	 waiting since: 885,	 schedule: [(750.2099501006221, 14), (1023.6489758460995, 0)], 3.	 home: 9,	 position: 9,	 waiting since: 712,	 schedule: [(711.3585565515049, 10), (741.3585565515049, 9), (1006.4335245426521, 0)], 37.	 home: 5,	 position: 5,	 waiting since: 1027,	 schedule: [(1026.7056717856817, 0)]]"
